date,lat,lon,sog,cog,class,H3
2022-05-02 00:20:37,-41.602768,-60.188229,4.5,140.0,4.0,8ac319082647fff
2022-05-02 00:21:47,-41.603649,-60.187233,3.5,137.4,4.0,8ac31908260ffff
2022-05-02 00:22:36,-41.604267,-60.186573,2.9,123.5,4.0,8ac31908260ffff
2022-05-02 00:23:36,-41.605011,-60.185829,3.9,128.4,4.0,8ac31908261ffff
2022-05-02 00:24:36,-41.60577,-60.185219,2.3,149.4,4.0,8ac319082617fff
2022-05-02 00:25:47,-41.606647,-60.184498,2.9,150.3,4.0,8ac3190826a7fff
2022-05-02 00:51:16,-41.622944,-60.162884,3.2,125.1,4.0,8ac3190902effff
2022-05-02 00:52:16,-41.623566,-60.161808,4.2,131.1,4.0,8ac3190902c7fff
2022-05-02 00:54:07,-41.613701,-60.207127,3.9,356.2,4.0,8ac3190862affff
2022-05-02 01:12:33,-41.639072,-60.146343,3.6,126.7,4.0,8ac3190928dffff
2022-05-02 01:13:36,-41.63961,-60.145153,4.4,117.4,4.0,8ac319092177fff
2022-05-02 01:15:18,-41.640404,-60.143196,3.7,127.9,4.0,8ac31909211ffff
2022-05-02 01:16:25,-41.640915,-60.1418075,2.75,109.4,4.0,8ac3190921affff
2022-05-02 01:17:33,-41.64144325,-60.14038,3.7,122.275,4.0,8ac319092187fff
2022-05-02 01:18:57,-41.64212,-60.138958,3.5,121.0,4.0,8ac31909256ffff
2022-05-02 01:19:36,-41.642505400000005,-60.1382154,4.0200000000000005,123.06,4.0,8ac319092567fff
2022-05-02 01:20:32,-41.64316133333333,-60.137188,3.0333333333333337,128.23333333333335,4.0,8ac319092577fff
2022-05-02 01:21:56,-41.644203,-60.136066,3.4,140.9,4.0,8ac31909250ffff
2022-05-02 01:22:32,-41.644605000000006,-60.13576533333333,3.3000000000000003,148.9,4.0,8ac31909251ffff
2022-05-02 01:23:17,-41.645405,-60.135235,3.5,151.1,4.0,8ac319092517fff
2022-05-02 01:24:21,-41.6463775,-60.134682,3.55,164.7,4.0,8ac3190925a7fff
2022-05-02 01:29:57,-41.651691,-60.133991,2.9,186.1,4.0,8ac319465237fff
2022-05-02 01:39:08,-41.660065,-60.135239,3.3,199.1,4.0,8ac319465117fff
2022-05-02 01:40:57,-41.66172,-60.135574,3.7,185.9,4.0,8ac319465c6ffff
2022-05-02 01:46:30,-41.6666764,-60.136424,3.96,185.2,4.0,8ac319465d07fff
2022-05-02 01:48:46,-41.668701,-60.136684,3.0,189.2,4.0,8ac31954b69ffff
2022-05-02 01:52:57,-41.672424,-60.137154,3.4,191.1,4.0,8ac319464b77fff
2022-05-02 01:53:32,-41.6729812,-60.1372224,3.58,183.56,4.0,8ac31954b4dffff
2022-05-02 01:54:23,-41.6738455,-60.13730325,3.9,187.725,4.0,8ac31954b4d7fff
2022-05-02 01:55:27,-41.67478033333333,-60.13735833333333,4.4,187.46666666666667,4.0,8ac31954b48ffff
2022-05-02 01:56:25,-41.675606,-60.137375,2.7,187.9,4.0,8ac31954b49ffff
2022-05-02 01:58:18,-41.675449,-60.1371805,0.6,11.8,4.0,8ac31954b49ffff
2022-05-02 01:59:38,-41.675547,-60.137248,1.1666666666666663,212.63333333333333,4.0,8ac31954b49ffff
2022-05-02 02:00:16,-41.675907,-60.137379,3.1,208.8,4.0,8ac31954b487fff
2022-05-02 02:01:37,-41.676655,-60.137432,0.5,182.0,4.0,8ac31954b4b7fff
2022-05-02 02:04:47,-41.678761,-60.13649,3.7,155.4,4.0,8ac319464947fff
2022-05-02 02:05:29,-41.679264,-60.135868,4.1,138.0,4.0,8ac319464957fff
2022-05-02 02:08:23,-41.678181,-60.133034,5.4,352.2,4.0,8ac3194648e7fff
2022-05-02 02:13:29,-41.67112349999999,-60.1339095,4.95,177.5,4.0,8ac319464a0ffff
2022-05-02 02:14:29,-41.6700915,-60.133947000000006,4.0,178.75,4.0,8ac319464a57fff
2022-05-02 02:25:55,-41.658386,-60.133392,3.6,11.9,4.0,8ac319465017fff
2022-05-02 02:26:48,-41.657509,-60.133247,3.5,6.6,4.0,8ac31946501ffff
2022-05-02 02:27:47,-41.656471,-60.13308,3.5,18.2,4.0,8ac3194650e7fff
2022-05-02 02:30:36,-41.653622,-60.132378,3.8,7.9,4.0,8ac319465397fff
2022-05-02 02:45:05,-41.639481,-60.133827,3.7,9.8,4.0,8ac3190927a7fff
2022-05-02 02:46:31,-41.6381015,-60.1327785,4.5,41.3,4.0,8ac31909278ffff
2022-05-02 02:48:40,-41.6365395,-60.130228,4.25,66.65,4.0,8ac31909269ffff
2022-05-02 02:49:10,-41.636322,-60.129616,4.2,73.3,4.0,8ac31946cd37fff
2022-05-02 02:50:36,-41.635864,-60.127453,4.0,76.7,4.0,8ac31946cd17fff
2022-05-02 02:51:47,-41.635853,-60.125729,3.9,84.1,4.0,8ac31946cd87fff
2022-05-02 02:52:17,-41.635918,-60.124981,3.5,99.6,4.0,8ac31946cd9ffff
2022-05-02 02:54:17,-41.636684,-60.122372,3.3,125.4,4.0,8ac319461347fff
2022-05-02 02:55:42,-41.637594,-60.120747,3.9,127.95,4.0,8ac31946122ffff
2022-05-02 02:56:17,-41.637928,-60.120106,3.6,123.0,4.0,8ac319461227fff
2022-05-02 03:01:28,-41.641155,-60.115307,3.1,128.8,4.0,8ac319461747fff
2022-05-02 03:09:49,-41.647797,-60.110405,3.0,160.8,4.0,8ac3194614e7fff
2022-05-02 03:10:49,-41.648678,-60.110134,3.2,162.3,4.0,8ac3194614f7fff
2022-05-02 03:11:48,-41.649593,-60.109875,3.5,171.5,4.0,8ac3194614affff
2022-05-02 03:17:14,-41.654747,-60.1094035,3.25,193.2,4.0,8ac3194602c7fff
2022-05-02 03:18:46,-41.65610100000001,-60.1096425,3.0,189.1,4.0,8ac3194602f7fff
2022-05-02 03:19:15,-41.65654,-60.1097275,2.85,189.4,4.0,8ac3194602affff
2022-05-02 03:20:07,-41.657284,-60.109833,3.1,182.2,4.0,8ac3194602affff
2022-05-02 03:22:45,-41.658085,-60.109955,0.4,10.9,4.0,8ac3194602a7fff
2022-05-02 03:23:26,-41.658047,-60.110008,0.3,282.7,4.0,8ac3194602a7fff
2022-05-02 03:25:56,-41.659271,-60.110561,1.6,191.8,4.0,8ac319460387fff
2022-05-02 03:28:17,-41.660984,-60.111301,4.8,208.2,4.0,8ac31946005ffff
2022-05-02 03:30:38,-41.66415375,-60.1127585,5.175,178.925,4.0,8ac319460027fff
2022-05-02 03:31:31,-41.665053,-60.11246,4.0,151.76666666666668,4.0,8ac31946011ffff
